id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34318581,Room2 Quiet&Cozy CityLakeHouse —NONSMOKERS ONLY,919044,Caroline,,South Shore,41.7649,-87.56884,Private room,32,30,6,2022-02-13,0.22,4,113,3,R19000040399
34322512,"Excellent location , cozy place 2",183258122,Santiago,,New City,41.79576,-87.66162,Private room,28,32,27,2022-01-10,0.79,7,139,9,City registration pending
34327660,Private Lincoln Park Condo with Parking Spots=,38574685,Katherine,,Lincoln Park,41.92147,-87.65427,Entire home/apt,232,2,73,2022-02-13,2.25,1,42,30,R19000043205
34336556,McKinley Park Condos,259228159,Armando,,Mckinley Park,41.82624,-87.66837,Entire home/apt,2000,32,9,2019-11-04,0.26,1,180,0,City registration pending
34337538,Historic Old Town One Bedroom Garden Unit,33004,At Home Inn,,Lincoln Park,41.91376,-87.63784,Entire home/apt,90,32,30,2021-09-14,0.85,8,74,6,City registration pending
34340162,Trendy Wicker Park Loft with Parking!,259214058,George,,West Town,41.9099,-87.66682,Entire home/apt,118,3,92,2022-02-19,2.65,1,48,42,R20000056239
34346271,Upscale Renovated Home IIT/McCormick-Free Parking!,260871189,Olaitan,,Douglas,41.82929,-87.61917,Entire home/apt,230,2,29,2021-10-17,0.85,1,170,9,R21000065433
34348324,"Close to O’Hare airport,train,shopping mall,Casino",259330053,Ghaidaa,,Ohare,41.97309,-87.84193,Entire home/apt,119,32,40,2021-10-24,1.15,1,344,12,City registration pending
34357362,"1BR w/ Open Kitchen, Sauna, Gym, near Riverwalk by Blueground",107434423,Blueground,,Near North Side,41.890629,-87.619026,Entire home/apt,316,30,1,2020-11-24,0.06,438,0,0,32+ Days Listing
34357910,Cozy Bridgeport Refuge,3921883,Kent,,Bridgeport,41.84328,-87.64063,Private room,40,2,27,2020-03-19,0.77,1,0,0,R19000041324
34383700,Beautiful cozy place 3,183258122,Santiago,,New City,41.79442,-87.66167,Private room,27,1,16,2021-06-29,0.47,7,171,2,pending
34420421,I welcome you to your home away from home..,40025536,Abigail,,West Town,41.89739,-87.67186,Entire home/apt,170,2,40,2021-10-11,1.15,1,163,12,R19000041368
34441147,"City Bungalow Room, near Med Ctrs & ORD",2456789,Mary,,Norwood Park,41.98295,-87.8196,Private room,33,7,27,2022-03-08,0.79,4,134,10,R21000075112
34442543,1st floor condo in Historic Greystone free parking,6789528,Peter,,Lake View,41.94469,-87.65253,Entire home/apt,294,2,101,2022-01-03,2.91,4,249,48,City registration pending
34448656,Edgewater Glen Suite in Historical Home,8452959,Katie,,Edgewater,41.99565,-87.66217,Entire home/apt,132,2,100,2022-01-21,2.91,1,33,25,R21000063110
34465373,Luxury Single Family Lincoln Park Home,8276496,Matt,,Lincoln Park,41.92896,-87.67025,Entire home/apt,999,3,9,2020-08-09,0.27,1,165,0,R19000041352
34481210,Logan Square Garden Sanctuary,72404211,Tess,,Logan Square,41.91918,-87.70321,Entire home/apt,89,2,73,2022-01-02,2.09,1,0,27,R21000074160
34506763,Lincoln Park Duplex,260438670,Jeff,,Lincoln Park,41.9152,-87.65341,Entire home/apt,128,32,20,2021-09-26,0.80,1,0,4,City registration pending
34514690,Lighthouse Room,110725131,Ronak,,West Garfield Park,41.87605,-87.72218,Private room,35,32,7,2021-12-04,0.21,7,74,4,R19000042272
34517680,Elegant Wicker: Wolcott & Milwaukee Ave,2479544,The Joneses,,West Town,41.905739,-87.674858,Entire home/apt,323,2,21,2022-03-13,0.68,1,351,20,R20000058371
34532548,Royalty Room,110725131,Ronak,,East Garfield Park,41.87581,-87.7203,Private room,35,32,5,2020-08-29,0.15,7,177,0,R19000042272
34533277,Beautiful Duplex in Historic Kenwood Neighborhood,132709428,Mark,,Kenwood,41.81472,-87.59928,Entire home/apt,150,32,23,2021-10-10,0.67,1,178,3,City registration pending
